Beneficiários por Município
Assistência Médica por Município
Grande Região: Nordeste
Período:Dez/2014
"Município";"Assistência_Médica"
"220680 Nossa Senhora dos Remédios";34
"220795 Nova Santa Rita";282
"220690 Novo Oriente do Piauí";44
"220695 Novo Santo Antônio";12
"220700 Oeiras";1550
"220710 Olho D'Água do Piauí";14
"220720 Padre Marcos";56
"220730 Paes Landim";55
"220735 Pajeú do Piauí";4
"220740 Palmeira do Piauí";138
"220750 Palmeirais";214
"220755 Paquetá";12
"220760 Parnaguá";40
"220770 Parnaíba";9365
"220775 Passagem Franca do Piauí";12
"220777 Patos do Piauí";10
"220779 Pau D'Arco do Piauí";9
"220780 Paulistana";585
"220785 Pavussu";5
"220790 Pedro II";470
"220793 Pedro Laurentino";38
"220800 Picos";5852
"220810 Pimenteiras";105
"220820 Pio IX";737
"220830 Piracuruca";543
"220840 Piripiri";2215
"220850 Porto";57
"220855 Porto Alegre do Piauí";10
"220860 Prata do Piauí";41
"220865 Queimada Nova";24
"220870 Redenção do Gurguéia";31
"220880 Regeneração";329
"220887 Ribeira do Piauí";1
"220890 Ribeiro Gonçalves";109
"220900 Rio Grande do Piauí";134
"220910 Santa Cruz do Piauí";58
"220915 Santa Cruz dos Milagres";13
"220920 Santa Filomena";165
"220930 Santa Luz";54
"220937 Santa Rosa do Piauí";12
"220935 Santana do Piauí";17
"220940 Santo Antônio de Lisboa";31
"220945 Santo Antônio dos Milagres";21
"220950 Santo Inácio do Piauí";27
"220955 São Braz do Piauí";4
"220960 São Félix do Piauí";43
"220965 São Francisco de Assis do Piauí";13
"220970 São Francisco do Piauí";29
"220975 São Gonçalo do Gurguéia";13
"220980 São Gonçalo do Piauí";49
"220985 São João da Canabrava";13
"220987 São João da Fronteira";7
"220990 São João da Serra";27
"220995 São João da Varjota";6
"220997 São João do Arraial";7
"221000 São João do Piauí";488
"221005 São José do Divino";23
"221010 São José do Peixe";31
"221020 São José do Piauí";20
"221030 São Julião";511
"221035 São Lourenço do Piauí";12
"221038 São Miguel da Baixa Grande";20
"221039 São Miguel do Fidalgo";1
"221040 São Miguel do Tapuio";171
"221050 São Pedro do Piauí";117
"221060 São Raimundo Nonato";1368
"221063 Sebastião Leal";223
"221065 Sigefredo Pacheco";11
"221070 Simões";382
"221080 Simplício Mendes";527
"221090 Socorro do Piauí";23
"221093 Sussuapara";21
"221095 Tamboril do Piauí";4
"221097 Tanque do Piauí";7
"221100 Teresina";211648
"221110 União";1210
"221120 Uruçuí";4382
"221130 Valença do Piauí";683
"221140 Várzea Grande";91
"221160 Vila Nova do Piauí";30
"221170 Wall Ferraz";7
"220000 Município ignorado - PI";20
"230010 Abaiara";296
"230015 Acarape";378
"230020 Acaraú";824
"230030 Acopiara";493
"230040 Aiuaba";49
"230050 Alcântaras";80
"230060 Altaneira";44
"230070 Alto Santo";269
"230075 Amontada";258
"230080 Antonina do Norte";56
"230090 Apuiarés";54
"230100 Aquiraz";6473
"230110 Aracati";3433
"230120 Aracoiaba";247
"230125 Ararendá";50
"230130 Araripe";163
"230140 Aratuba";52
"230150 Arneiroz";57
"230160 Assaré";257
"230170 Aurora";203
"230180 Baixio";31
"230185 Banabuiú";290
"230190 Barbalha";4140
"230195 Barreira";324
"230200 Barro";223
"230205 Barroquinha";133
"230210 Baturité";1037
"230220 Beberibe";944
"230230 Bela Cruz";280
"230240 Boa Viagem";631
"230250 Brejo Santo";2763
"230260 Camocim";1281
"230270 Campos Sales";871
"230280 Canindé";1817
"230290 Capistrano";98
"230300 Caridade";120
"230310 Cariré";97
"230320 Caririaçu";381
"230330 Cariús";63
"230340 Carnaubal";87
"230350 Cascavel";3363
"230360 Catarina";102
"230365 Catunda";29
"230370 Caucaia";42891
"230380 Cedro";384
"230390 Chaval";35
"230393 Choró";32
"230395 Chorozinho";573
"230400 Coreaú";137
"230410 Crateús";4263
"230420 Crato";14093
"230423 Croatá";76
"230425 Cruz";149
"230426 Deputado Irapuan Pinheiro";17
"230427 Ererê";16
"230428 Eusébio";14898
"230430 Farias Brito";177
"230435 Forquilha";511
"230440 Fortaleza";960455
"230445 Fortim";350
"230450 Frecheirinha";193
"230460 General Sampaio";42
"230465 Graça";70
"230470 Granja";416
"230480 Granjeiro";18
"230490 Groaíras";204
"230495 Guaiúba";755
"230500 Guaraciaba do Norte";401
"230510 Guaramiranga";54
"230520 Hidrolândia";164
"230523 Horizonte";3896
"230526 Ibaretama";32
"230530 Ibiapina";265
"230533 Ibicuitinga";58
"230535 Icapuí";476
"230540 Icó";1345
"230550 Iguatu";5015
"230560 Independência";449
"230565 Ipaporanga";73
"230570 Ipaumirim";113
"230580 Ipu";688
"230590 Ipueiras";328
"230600 Iracema";209
